station_name,all_day_boarding,all_day_alighting,morning_boarding,morning_alighting,evening_boarding,evening_alighting,calculated_weekday_average,morning_net_inflow,evening_net_outflow,employment_flow,residential_flow,peak_direction_total,orientation_score,peak_concentration,lines,weekday_average,weekend_average,relative_weekend_index,station_type,weekday_average_difference,commute_pattern,orientation_rank,weekday_volume_rank
남한산성입구(성남법원.검찰청),14959,13650,6189,2420,2174,4290,28609,-3769,-2116,4594,10478,15072,-0.39,0.527,8호선,28609,15682,0.845,Balanced,-0.451,주거 유출·귀가형,168,134
종합운동장,13469,15007,2488,2401,2067,6698,28476,-87,-4631,4468,9186,13654,-0.346,0.479,2호선,28476,31483,1.705,Weekend-relative-strong,0.148,주거 유출·귀가형,153,135
석계,13909,14169,5625,1431,1759,5125,28078,-4195,-3366,3190,10751,13940,-0.542,0.496,6호선,28078,17331,0.952,Balanced,-0.07,주거 유출·귀가형,213,136
둔촌동,14075,13935,5060,2148,2452,4789,28009,-2912,-2336,4600,9848,14449,-0.363,0.516,5호선,28009,17611,0.97,Balanced,0.066,주거 유출·귀가형,158,137
대치,13855,13831,3453,2741,3038,3807,27686,-712,-769,5779,7261,13040,-0.114,0.471,3호선,27686,17721,0.987,Balanced,-0.385,혼합형,106,138
신정(은행정),15051,12447,7515,1232,1553,4686,27497,-6283,-3132,2785,12200,14985,-0.628,0.545,5호선,27497,16083,0.902,Balanced,0.484,주거 유출·귀가형,233,139
공릉(서울과학기술대),13878,13612,4334,2341,2432,4214,27490,-1993,-1781,4773,8548,13321,-0.283,0.485,7호선,27490,17615,0.988,Balanced,0.434,주거 유출·귀가형,139,140
새절(신사),14168,13274,6353,1431,1576,4848,27442,-4922,-3272,3007,11201,14208,-0.577,0.518,6호선,27442,16323,0.917,Balanced,-0.279,주거 유출·귀가형,221,141
상도,13791,13581,4652,2110,2418,4151,27372,-2542,-1733,4529,8804,13332,-0.321,0.487,7호선,27372,15710,0.885,Balanced,-0.443,주거 유출·귀가형,150,142
수락산,13654,13591,5109,1471,1789,4618,27245,-3638,-2828,3260,9726,12987,-0.498,0.477,7호선,27245,19455,1.101,Balanced,0.156,주거 유출·귀가형,202,143
월곡(동덕여대),13736,13337,4881,2280,2516,4201,27073,-2601,-1685,4796,9081,13878,-0.309,0.513,6호선,27073,14231,0.811,Balanced,-0.131,주거 유출·귀가형,145,144
영등포시장,13316,13352,3616,3841,3909,3300,26668,224,609,7750,6917,14667,0.057,0.55,5호선,26668,17897,1.035,Balanced,0.184,혼합형,82,145
단대오거리,13566,12978,5653,1784,2105,4642,26544,-3869,-2536,3889,10294,14183,-0.452,0.534,8호선,26544,15308,0.889,Balanced,-0.074,주거 유출·귀가형,183,146
천왕,13315,12876,6293,1573,1522,4831,26191,-4720,-3309,3096,11124,14220,-0.565,0.543,7호선,26191,13563,0.799,Weekday-oriented,-0.094,주거 유출·귀가형,218,147
신풍,13246,12525,5251,1888,1935,4300,25772,-3362,-2365,3823,9550,13374,-0.428,0.519,7호선,25772,16224,0.971,Balanced,-0.328,주거 유출·귀가형,175,148
일원,12961,12602,3068,3663,2991,2413,25563,595,578,6654,5481,12135,0.097,0.475,3호선,25563,10843,0.654,Weekday-oriented,-0.033,혼합형,75,149
동대입구,12013,13290,854,4626,4173,2100,25303,3772,2073,8799,2954,11753,0.497,0.464,3호선,25303,19705,1.201,Weekend-relative-strong,0.336,업무 유입형,32,150
이태원,11631,13112,1014,3008,3548,2841,24743,1993,708,6556,3855,10411,0.259,0.421,6호선,24743,27910,1.74,Weekend-relative-strong,-0.078,업무 유입형,54,151
남성,12621,12119,5375,1428,1527,4264,24740,-3947,-2736,2956,9639,12594,-0.531,0.509,7호선,24740,14601,0.91,Balanced,-0.164,주거 유출·귀가형,207,152
강동구청,12057,12415,3970,2959,2575,3527,24472,-1011,-952,5534,7496,13030,-0.151,0.532,8호선,24472,12737,0.803,Balanced,-0.225,주거 유출·귀가형,116,153
돌곶이,12656,11789,5365,1547,1744,4138,24444,-3818,-2395,3291,9503,12794,-0.486,0.523,6호선,24444,13903,0.877,Balanced,0.193,주거 유출·귀가형,198,154
광나루(장신대),12505,11921,3628,2607,2543,3240,24426,-1022,-697,5149,6868,12018,-0.143,0.492,5호선,24426,17723,1.119,Balanced,0.0,혼합형,112,155
화랑대(서울여대입구),13309,10844,5821,1564,1645,3816,24153,-4257,-2171,3209,9636,12845,-0.5,0.532,6호선,24153,12957,0.827,Balanced,-0.295,주거 유출·귀가형,203,156
대청,12438,11607,3992,2638,2734,3208,24045,-1355,-474,5371,7200,12571,-0.145,0.523,3호선,24045,12222,0.784,Weekday-oriented,-0.168,혼합형,113,157
중곡,12326,11637,4351,2666,2396,3400,23963,-1685,-1003,5063,7751,12814,-0.21,0.535,7호선,23963,13583,0.874,Balanced,0.152,주거 유출·귀가형,125,158
중화,11935,11855,4542,1784,1895,3862,23790,-2758,-1968,3679,8404,12083,-0.391,0.508,7호선,23790,14693,0.953,Balanced,0.041,주거 유출·귀가형,169,159
아현,12181,11481,4285,1870,2085,3492,23662,-2415,-1407,3954,7776,11731,-0.326,0.496,2호선,23662,15052,0.981,Balanced,0.127,주거 유출·귀가형,151,160
고덕,11904,11609,3060,2470,2275,2978,23513,-590,-703,4745,6038,10783,-0.12,0.459,5호선,23513,12698,0.833,Balanced,-0.025,혼합형,108,161
한강진,10760,12561,717,4292,4254,2314,23321,3575,1940,8546,3031,11577,0.476,0.496,6호선,23321,23302,1.541,Weekend-relative-strong,0.242,업무 유입형,34,162
신정네거리,11385,11761,5191,955,1176,4770,23147,-4235,-3594,2131,9960,12092,-0.647,0.522,2호선,23147,13966,0.931,Balanced,-0.172,주거 유출·귀가형,237,163
상수,10910,12235,1399,2571,2864,3104,23145,1172,-240,5435,4503,9938,0.094,0.429,6호선,23145,20636,1.375,Weekend-relative-strong,-0.254,혼합형,77,164
거여,11464,11197,4845,1587,1583,4027,22661,-3258,-2444,3170,8872,12042,-0.474,0.531,5호선,22661,12242,0.833,Balanced,0.201,주거 유출·귀가형,191,165
오금,11695,10895,4301,2782,2430,3080,22590,-1519,-650,5213,7381,12594,-0.172,0.558,"3호선, 5호선",22590,11598,0.792,Weekday-oriented,-0.385,주거 유출·귀가형,119,166
먹골,11260,11253,4243,1314,1678,3883,22514,-2929,-2205,2992,8126,11118,-0.462,0.494,7호선,22514,14558,0.997,Balanced,-0.352,주거 유출·귀가형,188,167
대흥(서강대앞),10933,11487,2244,3237,2875,2584,22421,994,291,6112,4828,10940,0.117,0.488,6호선,22421,12365,0.851,Balanced,-0.176,혼합형,72,168
온수(성공회대입구),11626,10608,5142,1789,1508,3750,22234,-3354,-2242,3296,8892,12189,-0.459,0.548,7호선,22234,10549,0.732,Weekday-oriented,0.434,주거 유출·귀가형,186,169
이촌(국립중앙박물관),10526,11477,1822,2568,2769,2195,22003,746,574,5337,4017,9355,0.141,0.425,4호선,22003,22032,1.544,Weekend-relative-strong,0.131,혼합형,69,170
송파,10979,10828,3978,1837,1839,3444,21806,-2142,-1604,3676,7422,11098,-0.338,0.509,8호선,21806,12579,0.89,Balanced,0.48,주거 유출·귀가형,152,171
김포공항,13407,8384,2529,2392,3344,1519,21791,-136,1825,5736,4047,9783,0.173,0.449,5호선,21791,18771,1.329,Weekend-relative-strong,-0.451,업무 유입형,65,172
광흥창(서강),11051,10602,2919,3065,2909,2531,21653,145,378,5974,5450,11424,0.046,0.528,6호선,21653,11312,0.806,Balanced,0.25,혼합형,85,173
굽은다리(강동구민회관앞),10955,10503,4070,1309,1569,3501,21459,-2761,-1932,2878,7571,10449,-0.449,0.487,5호선,21459,14508,1.043,Balanced,-0.393,주거 유출·귀가형,182,174
도봉산,9989,11334,4752,1286,1033,3969,21323,-3465,-2936,2320,8721,11040,-0.58,0.518,7호선,21323,14542,1.052,Balanced,-0.402,주거 유출·귀가형,222,175
장승배기,10600,10364,3742,1758,1748,3057,20964,-1984,-1308,3506,6798,10305,-0.319,0.492,7호선,20964,12170,0.895,Balanced,0.029,주거 유출·귀가형,149,176
증산(명지대앞),10365,10326,4535,977,1219,3873,20691,-3558,-2654,2196,8408,10604,-0.586,0.512,6호선,20691,13451,1.003,Balanced,0.41,주거 유출·귀가형,227,177
석촌,9677,10970,2344,2280,2204,3119,20647,-64,-915,4484,5464,9948,-0.098,0.482,8호선,20647,14706,1.098,Balanced,0.221,혼합형,102,178
복정,10990,9360,3793,1829,2557,3053,20351,-1965,-497,4386,6847,11233,-0.219,0.552,8호선,20351,11813,0.895,Balanced,-0.385,주거 유출·귀가형,126,179
옥수,10009,10306,3359,1295,1750,3478,20315,-2064,-1727,3046,6837,9883,-0.384,0.486,3호선,20315,13753,1.044,Balanced,0.492,주거 유출·귀가형,166,180
길동,9862,10084,3076,1756,1744,2972,19945,-1320,-1228,3501,6049,9549,-0.267,0.479,5호선,19945,13026,1.007,Balanced,0.463,주거 유출·귀가형,138,181
불암산,10706,9237,4414,1010,1231,2839,19943,-3404,-1608,2241,7253,9494,-0.528,0.476,4호선,19943,14508,1.122,Balanced,0.037,주거 유출·귀가형,206,182
고려대(종암),10170,9666,2670,2396,2314,2434,19836,-274,-120,4710,5104,9814,-0.04,0.495,6호선,19836,11697,0.909,Balanced,-0.459,혼합형,93,183
자양(뚝섬한강공원),9848,9657,3138,1232,1718,3306,19505,-1906,-1588,2950,6443,9393,-0.372,0.482,7호선,19505,19569,1.547,Weekend-relative-strong,-0.213,주거 유출·귀가형,159,184
봉화산(서울의료원),9907,9243,4498,1084,1148,3299,19150,-3414,-2151,2232,7797,10029,-0.555,0.524,6호선,19150,10506,0.846,Balanced,-0.012,주거 유출·귀가형,216,185
양평,9506,9277,3107,3329,3014,2343,18783,222,671,6343,5450,11794,0.076,0.628,5호선,18783,7925,0.651,Weekday-oriented,0.004,혼합형,80,186
하남시청(덕풍·신장),9519,9041,3271,1268,1443,2708,18560,-2004,-1265,2710,5980,8690,-0.376,0.468,5호선,18560,12534,1.042,Balanced,0.111,주거 유출·귀가형,162,187
명일,9171,9157,3417,1151,1251,3141,18328,-2266,-1890,2401,6558,8959,-0.464,0.489,5호선,18328,12014,1.011,Balanced,-0.316,주거 유출·귀가형,190,188
보문,9161,8563,3285,1749,1706,2545,17724,-1536,-839,3455,5829,9284,-0.256,0.524,6호선,17724,11169,0.972,Balanced,-0.152,주거 유출·귀가형,134,189
금호,8951,8446,3801,827,1202,3008,17397,-2973,-1806,2029,6809,8838,-0.541,0.508,3호선,17397,11097,0.984,Balanced,-0.484,주거 유출·귀가형,212,190
독립문,8556,8808,2117,2277,1647,1867,17364,159,-219,3924,3984,7908,-0.008,0.455,3호선,17364,13496,1.199,Balanced,-0.299,혼합형,90,191
경찰병원,8576,8572,2884,2342,1830,2333,17149,-542,-503,4172,5217,9389,-0.111,0.548,3호선,17149,7922,0.712,Weekday-oriented,-0.467,혼합형,105,192
지축,8483,8625,3515,1064,1209,3111,17108,-2450,-1902,2274,6626,8899,-0.489,0.52,3호선,17108,10317,0.93,Balanced,-0.254,주거 유출·귀가형,201,193
행당,8963,8041,4153,837,1041,2964,17004,-3315,-1923,1878,7116,8995,-0.582,0.529,5호선,17004,9992,0.906,Balanced,0.0,주거 유출·귀가형,224,194
남위례,8515,8487,2792,2024,1860,2590,17002,-767,-730,3884,5382,9266,-0.162,0.545,8호선,17002,9510,0.863,Balanced,0.098,주거 유출·귀가형,118,195
방이,8236,8560,2151,1886,1831,2485,16796,-265,-653,3718,4636,8353,-0.11,0.497,5호선,16796,11140,1.023,Balanced,0.111,혼합형,103,196
몽촌토성(평화의문),8233,8415,1983,2604,2315,1957,16648,621,358,4919,3940,8859,0.111,0.532,8호선,16648,11081,1.027,Balanced,0.176,혼합형,73,197
효창공원앞,8615,7960,2669,2038,2134,2016,16575,-631,118,4172,4685,8857,-0.058,0.534,6호선,16575,9596,0.893,Balanced,-0.102,혼합형,95,198
청구,8307,8064,1851,2854,2487,1679,16371,1003,808,5341,3530,8871,0.204,0.542,"5호선, 6호선",16371,9154,0.862,Balanced,0.189,업무 유입형,61,199
구산,9168,7104,3910,806,1025,2499,16272,-3104,-1475,1831,6409,8240,-0.556,0.506,6호선,16272,10068,0.954,Balanced,0.041,주거 유출·귀가형,217,200
