station_name,all_day_boarding,all_day_alighting,morning_boarding,morning_alighting,evening_boarding,evening_alighting,calculated_weekday_average,morning_net_inflow,evening_net_outflow,employment_flow,residential_flow,peak_direction_total,orientation_score,peak_concentration,lines,weekday_average,weekend_average,relative_weekend_index,station_type,weekday_average_difference,commute_pattern,orientation_rank,weekday_volume_rank
잠실(송파구청),104189,107017,18872,25693,29487,27582,211206,6821,1905,55181,46454,101635,0.086,0.481,"2호선, 8호선",211206,179183,1.308,Weekend-relative-strong,-0.389,혼합형,78,1
서울역,91973,97270,16231,31466,29995,20054,189242,15235,9941,61462,36286,97747,0.258,0.517,"1호선, 4호선",189242,148344,1.209,Weekend-relative-strong,0.459,업무 유입형,55,2
강남,91108,89549,6638,35735,33515,16614,180657,29096,16901,69250,23252,92502,0.497,0.512,2호선,180657,100064,0.854,Balanced,-0.303,업무 유입형,33,3
홍대입구,71757,77292,8190,12300,18844,21503,149049,4111,-2659,31144,29692,60836,0.024,0.408,2호선,149049,166315,1.721,Weekend-relative-strong,0.303,혼합형,89,4
사당,73952,74962,20343,11160,14765,26356,148914,-9183,-11591,25925,46699,72624,-0.286,0.488,"2호선, 4호선",148914,114165,1.182,Balanced,-0.365,주거 유출·귀가형,140,5
고속터미널,67491,62851,7017,13400,18772,13082,130341,6382,5691,32172,20099,52271,0.231,0.401,"3호선, 7호선",130341,139628,1.652,Weekend-relative-strong,0.451,업무 유입형,58,6
구로디지털단지,64231,63906,18599,20101,18631,16076,128137,1502,2555,38732,34675,73406,0.055,0.573,2호선,128137,66398,0.799,Weekday-oriented,0.016,혼합형,83,7
역삼,59361,67107,2764,38422,29918,6053,126467,35658,23865,68340,8817,77156,0.771,0.61,2호선,126467,35162,0.429,Weekday-oriented,0.307,업무 유입형,4,8
선릉,66973,58931,3979,28889,29218,6442,125904,24909,22776,58106,10421,68527,0.696,0.544,2호선,125904,44395,0.544,Weekday-oriented,0.299,업무 유입형,13,9
삼성(무역센터),61445,62280,2278,32194,28728,6194,123725,29916,22534,60922,8472,69394,0.756,0.561,2호선,123725,66956,0.835,Balanced,-0.115,업무 유입형,8,10
시청,61127,59877,2219,35555,29355,4892,121004,33336,24463,64910,7111,72021,0.803,0.595,"1호선, 2호선",121004,59902,0.763,Weekday-oriented,-0.07,업무 유입형,2,11
신림,59696,58577,26135,4520,7279,21888,118273,-21616,-14608,11799,48023,59822,-0.606,0.506,2호선,118273,85166,1.111,Balanced,0.148,주거 유출·귀가형,229,12
을지로입구,55572,57561,2208,28564,24690,7407,113134,26356,17284,53254,9615,62869,0.694,0.556,2호선,113134,66682,0.909,Balanced,-0.102,업무 유입형,14,13
성수,53965,58123,3011,22597,24309,8341,112088,19586,15969,46906,11352,58258,0.61,0.52,2호선,112088,85527,1.177,Balanced,-0.164,업무 유입형,20,14
종로3가,56180,54910,2163,15309,19115,8967,111090,13146,10147,34424,11130,45554,0.511,0.41,"1호선, 3호선, 5호선",111090,91930,1.276,Weekend-relative-strong,0.5,업무 유입형,30,15
건대입구,54067,56159,10964,9537,12298,17055,110226,-1427,-4757,21835,28019,49854,-0.124,0.452,"2호선, 7호선",110226,93041,1.302,Weekend-relative-strong,-0.352,혼합형,110,16
교대(법원.검찰청),54947,53731,5568,20222,19700,9147,108679,14654,10553,39922,14715,54636,0.461,0.503,"2호선, 3호선",108679,45362,0.644,Weekday-oriented,-0.205,업무 유입형,36,17
신도림,54066,51805,16653,9406,11059,16172,105871,-7247,-5113,20464,32825,53289,-0.232,0.503,2호선,105871,80164,1.168,Balanced,-0.033,주거 유출·귀가형,128,18
가산디지털단지,50790,50916,3060,34641,29051,3684,101706,31581,25367,63692,6744,70437,0.808,0.693,7호선,101706,25232,0.383,Weekday-oriented,-0.123,업무 유입형,1,19
서울대입구(관악구청),51450,49538,18142,6703,8790,16494,100988,-11439,-7703,15493,34635,50128,-0.382,0.496,2호선,100988,66328,1.013,Balanced,-0.098,주거 유출·귀가형,165,20
합정,47769,50890,7178,12877,14319,14221,98658,5699,99,27196,21398,48594,0.119,0.493,"2호선, 6호선",98658,86681,1.355,Weekend-relative-strong,0.037,혼합형,71,21
노원,44787,48807,10675,7815,8398,14807,93595,-2860,-6409,16213,25482,41695,-0.222,0.445,"4호선, 7호선",93595,65134,1.073,Balanced,-0.25,주거 유출·귀가형,127,22
종각,44839,44058,1149,24392,20447,4718,88896,23242,15728,44839,5868,50706,0.769,0.57,1호선,88896,44225,0.767,Weekday-oriented,0.299,업무 유입형,5,23
양재(서초구청),42882,45285,4981,20761,17960,7752,88166,15780,10207,38720,12733,51454,0.505,0.584,3호선,88166,40070,0.701,Weekday-oriented,0.484,업무 유입형,31,24
을지로3가,42618,42528,2371,21250,18896,6366,85146,18880,12530,40146,8737,48883,0.643,0.574,"2호선, 3호선",85146,46160,0.836,Balanced,0.221,업무 유입형,16,25
천호(풍납토성),40445,42538,10095,7490,9282,12735,82983,-2605,-3453,16773,22830,39603,-0.153,0.477,"5호선, 8호선",82983,62988,1.171,Balanced,0.115,주거 유출·귀가형,117,26
동대문역사문화공원(DDP),41322,41533,3305,12779,14381,7477,82855,9474,6904,27159,10782,37941,0.432,0.458,"2호선, 4호선, 5호선",82855,66979,1.247,Weekend-relative-strong,0.131,업무 유입형,39,27
신촌,41042,41584,5403,8971,10313,10503,82627,3568,-189,19284,15906,35190,0.096,0.426,2호선,82627,64255,1.199,Balanced,-0.488,혼합형,76,28
혜화,39140,38777,2681,11449,11136,7896,77916,8768,3240,22586,10578,33164,0.362,0.426,4호선,77916,66620,1.319,Weekend-relative-strong,0.402,업무 유입형,45,29
광화문(세종문화회관),37827,39965,1371,22425,18116,4473,77792,21054,13642,40541,5844,46385,0.748,0.596,5호선,77792,45870,0.909,Balanced,-0.045,업무 유입형,9,30
연신내,39728,37868,14706,4350,5516,13128,77596,-10357,-7612,9865,27834,37699,-0.477,0.486,3호선,77596,55713,1.107,Balanced,0.09,주거 유출·귀가형,192,31
명동,37617,39804,1901,12005,12586,7097,77421,10105,5490,24591,8997,33589,0.464,0.434,4호선,77421,71711,1.429,Weekend-relative-strong,-0.098,업무 유입형,35,32
공덕,38453,38670,6427,15424,13695,8264,77123,8997,5432,29120,14691,43811,0.329,0.568,"5호선, 6호선",77123,36854,0.737,Weekday-oriented,0.131,업무 유입형,49,33
수유(강북구청),37028,37507,12712,4750,5952,12506,74535,-7962,-6554,10702,25218,35920,-0.404,0.482,4호선,74535,51564,1.067,Balanced,0.234,주거 유출·귀가형,172,34
충무로,36032,36848,2339,15889,14662,5008,72880,13550,9654,30551,7347,37898,0.612,0.52,4호선,72880,35551,0.752,Weekday-oriented,-0.012,업무 유입형,19,35
대림(구로구청),35695,36252,11407,6111,6304,9361,71947,-5297,-3057,12415,20768,33183,-0.252,0.461,"2호선, 7호선",71947,56049,1.201,Weekend-relative-strong,-0.23,주거 유출·귀가형,132,36
압구정,34011,36457,2533,13885,12968,5884,70468,11352,7084,26852,8417,35270,0.523,0.501,3호선,70468,43978,0.963,Balanced,0.254,업무 유입형,29,37
여의도,33485,35425,1591,21360,17497,3676,68910,19768,13821,38857,5267,44124,0.761,0.64,5호선,68910,27170,0.608,Weekday-oriented,-0.037,업무 유입형,7,38
남부터미널(예술의전당),33980,34326,4616,13721,12919,6044,68306,9105,6875,26640,10660,37300,0.428,0.546,3호선,68306,43716,0.987,Balanced,0.033,업무 유입형,40,39
동대문,33413,33203,3260,8714,9139,4541,66616,5454,4597,17852,7802,25654,0.392,0.385,"1호선, 4호선",66616,52184,1.208,Weekend-relative-strong,0.398,업무 유입형,42,40
영등포구청,31883,32663,6904,12293,10736,7265,64546,5390,3471,23029,14169,37198,0.238,0.576,"2호선, 5호선",64546,31598,0.755,Weekday-oriented,-0.43,업무 유입형,57,41
회현(남대문시장),31091,32431,1072,13488,12378,2400,63522,12416,9978,25866,3472,29338,0.763,0.462,4호선,63522,38906,0.945,Balanced,0.389,업무 유입형,6,42
쌍문,32007,30005,13635,2606,3546,10909,62011,-11029,-7363,6152,24544,30696,-0.599,0.495,4호선,62011,40098,0.997,Balanced,0.234,주거 유출·귀가형,228,43
신사,30142,31677,1788,12283,12333,5629,61819,10495,6704,24615,7417,32033,0.537,0.518,3호선,61819,37367,0.932,Balanced,-0.299,업무 유입형,28,44
화곡,31548,29498,14178,3082,3996,11468,61045,-11096,-7471,7079,25646,32725,-0.567,0.536,5호선,61045,37217,0.94,Balanced,0.463,주거 유출·귀가형,219,45
창동,29525,31147,9251,4208,4887,9658,60672,-5044,-4771,9095,18909,28004,-0.35,0.462,4호선,60672,42065,1.069,Balanced,0.336,주거 유출·귀가형,156,46
낙성대(강감찬),30476,29578,12544,3926,4893,9989,60054,-8618,-5097,8818,22533,31352,-0.437,0.522,2호선,60054,40569,1.042,Balanced,0.27,주거 유출·귀가형,178,47
안국,29519,30280,1204,13143,12019,2779,59799,11939,9240,25162,3983,29145,0.727,0.487,3호선,59799,46439,1.198,Balanced,0.025,업무 유입형,10,48
까치산,30344,29310,14618,1955,2961,11636,59653,-12663,-8675,4916,26254,31169,-0.685,0.523,5호선,59653,38299,0.99,Balanced,0.34,주거 유출·귀가형,239,49
구의(광진구청),29287,28760,11766,3731,4665,9965,58046,-8035,-5301,8396,21731,30127,-0.443,0.519,2호선,58046,36102,0.959,Balanced,0.48,주거 유출·귀가형,181,50
군자(능동),29896,27866,10025,4667,5902,9393,57761,-5358,-3491,10569,19418,29987,-0.295,0.519,"5호선, 7호선",57761,38500,1.028,Balanced,0.262,주거 유출·귀가형,141,51
뚝섬,27759,29418,2711,12980,12144,4648,57177,10269,7496,25124,7359,32482,0.547,0.568,2호선,57177,34995,0.944,Balanced,-0.057,업무 유입형,26,52
경복궁(정부서울청사),28377,28546,2252,11649,10392,3782,56923,9397,6609,22041,6035,28075,0.57,0.493,3호선,56923,48247,1.307,Weekend-relative-strong,-0.422,업무 유입형,23,53
미아사거리,28330,28100,9998,3383,4216,9490,56431,-6614,-5274,7599,19488,27087,-0.439,0.48,4호선,56431,39327,1.075,Balanced,-0.295,주거 유출·귀가형,179,54
강변(동서울터미널),28962,26459,10107,3393,4871,8362,55421,-6714,-3491,8265,18470,26734,-0.382,0.482,2호선,55421,48778,1.357,Weekend-relative-strong,0.291,주거 유출·귀가형,164,55
학동,26522,27399,1283,16332,13977,2102,53921,15049,11875,30309,3385,33694,0.799,0.625,7호선,53921,19540,0.559,Weekday-oriented,-0.086,업무 유입형,3,56
문정,26318,27509,3703,14887,11936,4080,53827,11184,7856,26824,7783,34607,0.55,0.643,8호선,53827,18260,0.523,Weekday-oriented,-0.016,업무 유입형,25,57
문래,26506,27160,5464,11086,9593,6166,53667,5622,3427,20679,11630,32310,0.28,0.602,2호선,53667,27258,0.783,Weekday-oriented,-0.43,업무 유입형,52,58
신대방,27353,26312,12652,2237,3063,9226,53665,-10415,-6163,5300,21878,27178,-0.61,0.506,2호선,53665,37512,1.078,Balanced,0.357,주거 유출·귀가형,231,59
발산,26228,26765,3511,10511,9151,5253,52993,7000,3897,19662,8764,28425,0.383,0.536,5호선,52993,29992,0.873,Balanced,0.082,업무 유입형,44,60
봉천,27232,25604,12244,2564,3293,9186,52837,-9679,-5893,5858,21430,27288,-0.571,0.516,2호선,52837,33216,0.97,Balanced,-0.43,주거 유출·귀가형,220,61
신당,25582,26391,6105,5772,5753,7461,51973,-333,-1708,11526,13566,25092,-0.081,0.483,"2호선, 6호선",51973,36423,1.081,Balanced,-0.279,혼합형,97,62
잠실새내,26244,25658,8838,3095,4436,8714,51902,-5743,-4278,7531,17552,25083,-0.4,0.483,2호선,51902,35785,1.063,Balanced,-0.385,주거 유출·귀가형,171,63
종로5가,25714,25248,1189,8440,8960,3065,50962,7251,5895,17400,4255,21655,0.607,0.425,1호선,50962,36128,1.093,Balanced,-0.205,업무 유입형,21,64
철산,24123,24726,9673,3219,3438,9399,48849,-6454,-5960,6657,19071,25729,-0.482,0.527,7호선,48849,28800,0.909,Balanced,0.127,주거 유출·귀가형,197,65
청량리(서울시립대입구),24375,24201,6065,3710,4503,5802,48576,-2355,-1298,8213,11867,20080,-0.182,0.413,1호선,48576,40560,1.288,Weekend-relative-strong,0.02,주거 유출·귀가형,121,66
서초,24452,24045,3029,11113,9028,3021,48497,8084,6007,20141,6050,26190,0.538,0.54,2호선,48497,28736,0.914,Balanced,0.123,업무 유입형,27,67
성신여대입구(돈암),24600,23726,5967,3690,5076,6901,48326,-2277,-1825,8766,12867,21633,-0.19,0.448,4호선,48326,34815,1.111,Balanced,0.369,주거 유출·귀가형,122,68
길음,24058,24016,9839,3008,3340,8152,48074,-6831,-4812,6348,17991,24339,-0.478,0.506,4호선,48074,28940,0.928,Balanced,-0.451,주거 유출·귀가형,193,69
을지로4가,24160,23903,1742,10501,10337,2783,48063,8759,7554,20839,4525,25364,0.643,0.528,"2호선, 5호선",48063,25182,0.808,Balanced,-0.111,업무 유입형,15,70
오목교(목동운동장앞),23250,24790,6144,5530,5557,7278,48040,-614,-1721,11087,13422,24509,-0.095,0.51,5호선,48040,30657,0.984,Balanced,-0.266,혼합형,100,71
불광,23473,24279,7920,3431,3865,7448,47753,-4488,-3583,7296,15367,22664,-0.356,0.475,"3호선, 6호선",47753,34263,1.107,Balanced,-0.475,주거 유출·귀가형,157,72
신용산,22778,24674,1957,9464,9082,4943,47452,7507,4139,18545,6899,25445,0.458,0.536,4호선,47452,34835,1.132,Balanced,0.307,업무 유입형,37,73
구파발,24175,23274,9218,2922,3305,7663,47450,-6296,-4357,6227,16880,23107,-0.461,0.487,3호선,47450,32170,1.046,Balanced,-0.361,주거 유출·귀가형,187,74
서대문,23366,23577,2637,13328,10168,2637,46943,10691,7531,23496,5274,28770,0.633,0.613,5호선,46943,15583,0.512,Weekday-oriented,-0.283,업무 유입형,17,75
광명사거리,23449,23229,9103,2581,3334,8058,46677,-6522,-4724,5915,17161,23076,-0.487,0.494,7호선,46677,31693,1.047,Balanced,0.426,주거 유출·귀가형,199,76
당산,20893,24030,6155,6120,5198,7189,44923,-35,-1992,11317,13344,24661,-0.082,0.549,2호선,44923,25290,0.868,Balanced,0.094,혼합형,98,77
총신대입구(이수),21551,23314,6225,3891,4326,7361,44865,-2333,-3035,8218,13586,21803,-0.246,0.486,4호선,44865,29782,1.024,Balanced,0.131,주거 유출·귀가형,130,78
장한평,22536,22309,7843,5708,5712,6683,44844,-2135,-970,11420,14526,25946,-0.12,0.579,5호선,44844,23999,0.825,Balanced,0.439,혼합형,107,79
왕십리(성동구청),22604,21478,5194,4000,4981,6596,44082,-1194,-1616,8981,11790,20771,-0.135,0.471,"2호선, 5호선",44082,32050,1.121,Balanced,-0.238,혼합형,111,80
논현,21554,22310,1407,10579,9524,3286,43864,9172,6237,20102,4693,24796,0.621,0.565,7호선,43864,19826,0.697,Weekday-oriented,-0.127,업무 유입형,18,81
청담,20964,22726,1628,12286,9627,2173,43690,10658,7454,21912,3801,25713,0.704,0.589,7호선,43690,19618,0.693,Weekday-oriented,0.443,업무 유입형,12,82
상계,21565,20328,8540,2194,2503,7047,41893,-6346,-4544,4697,15587,20283,-0.537,0.484,4호선,41893,27266,1.004,Balanced,-0.057,주거 유출·귀가형,210,83
강동,21139,20444,7078,4888,4503,5591,41583,-2191,-1088,9391,12670,22060,-0.149,0.531,5호선,41583,24968,0.926,Balanced,0.037,혼합형,115,84
수서,20791,20682,4846,5527,5114,5072,41473,680,43,10641,9918,20559,0.035,0.496,3호선,41473,28654,1.066,Balanced,0.135,혼합형,87,85
가락시장,19869,20566,4223,5601,5187,5008,40435,1379,179,10788,9231,20019,0.078,0.495,"3호선, 8호선",40435,23113,0.882,Balanced,0.43,혼합형,79,86
방배,19763,20313,3333,6913,5996,3751,40077,3580,2245,12909,7084,19993,0.291,0.499,2호선,40077,18582,0.715,Weekday-oriented,-0.467,업무 유입형,51,87
미사,19846,20084,7385,2647,3115,7281,39930,-4738,-4166,5762,14666,20428,-0.436,0.512,5호선,39930,26838,1.037,Balanced,0.086,주거 유출·귀가형,177,88
응암,19860,19702,8944,1790,2241,7523,39563,-7154,-5281,4031,16467,20499,-0.607,0.518,6호선,39563,24752,0.965,Balanced,-0.328,주거 유출·귀가형,230,89
이대,18927,20621,3869,4675,4728,4742,39549,806,-14,9403,8611,18014,0.044,0.455,2호선,39549,24946,0.973,Balanced,-0.148,혼합형,86,90
하계,20211,19029,7666,2704,2706,6213,39240,-4962,-3507,5410,13879,19289,-0.439,0.492,7호선,39240,23876,0.938,Balanced,-0.086,주거 유출·귀가형,180,91
목동,18621,20294,7232,2674,2796,7697,38915,-4558,-4901,5471,14929,20400,-0.464,0.524,5호선,38915,21523,0.853,Balanced,0.008,주거 유출·귀가형,189,92
신설동,19720,19132,4031,5963,5742,3887,38852,1932,1855,11705,7919,19624,0.193,0.505,"1호선, 2호선",38852,28276,1.122,Balanced,-0.07,업무 유입형,62,93
강남구청,18418,20431,1119,10601,8286,2129,38849,9483,6157,18887,3247,22135,0.707,0.57,7호선,38849,18079,0.718,Weekday-oriented,-0.254,업무 유입형,11,94
홍제,19862,18948,7689,2244,2732,6456,38810,-5445,-3725,4976,14145,19121,-0.48,0.493,3호선,38810,26102,1.037,Balanced,-0.266,주거 유출·귀가형,196,95
상봉,19168,18638,7100,2472,3154,6653,37807,-4628,-3498,5626,13752,19379,-0.419,0.513,7호선,37807,26057,1.063,Balanced,-0.242,주거 유출·귀가형,173,96
어린이대공원(세종대),18580,18949,3244,5681,5271,3419,37529,2437,1853,10952,6663,17615,0.244,0.469,7호선,37529,22359,0.919,Balanced,0.0,업무 유입형,56,97
동묘앞,18515,18972,3020,3697,4155,3447,37487,677,709,7852,6467,14319,0.097,0.382,"1호선, 6호선",37487,44993,1.851,Weekend-relative-strong,0.254,혼합형,74,98
이수,18735,18313,4320,3877,4408,5572,37048,-443,-1164,8285,9892,18177,-0.088,0.491,7호선,37048,23792,0.99,Balanced,0.496,혼합형,99,99
장지,19166,17697,5666,4731,4912,4698,36863,-934,214,9644,10364,20007,-0.036,0.543,8호선,36863,22479,0.94,Balanced,0.242,혼합형,91,100
