date,passenger_count,weekday_num,weekday,weekday_eng,is_weekend
2025-12-19,11349481,4,금,Fri,False
2025-04-11,11203748,4,금,Fri,False
2025-12-05,11088583,4,금,Fri,False
2025-09-26,11022344,4,금,Fri,False
2025-12-12,11008711,4,금,Fri,False
2025-10-24,11001909,4,금,Fri,False
2025-10-31,10994317,4,금,Fri,False
2025-04-25,10990876,4,금,Fri,False
2025-12-24,10989300,2,수,Wed,False
2025-04-30,10950186,2,수,Wed,False
