station_name,weekday_average,weekend_average,holiday_average,overall_average,lines,weekend_ratio,holiday_ratio,relative_weekend_index,weekend_change_rate,station_type,overall_volume_rank,weekend_index_rank
오금,22590,11598,8372,18778,"3호선, 5호선",0.513,0.371,0.792,-48.66,Weekday-oriented,173,205
송파,21806,12579,10026,18615,8호선,0.577,0.46,0.89,-42.315,Balanced,174,166
석촌,20647,14706,11351,18503,8호선,0.712,0.55,1.098,-28.777,Balanced,175,55
온수(성공회대입구),22234,10549,8325,18245,7호선,0.474,0.374,0.732,-52.556,Weekday-oriented,176,216
증산(명지대앞),20691,13451,10924,18160,6호선,0.65,0.528,1.003,-34.995,Balanced,177,96
광흥창(서강),21653,11312,8191,18063,6호선,0.522,0.378,0.806,-47.76,Balanced,178,201
불암산,19943,14508,12110,18016,4호선,0.727,0.607,1.122,-27.254,Balanced,179,47
옥수,20315,13753,10919,17992,3호선,0.677,0.537,1.044,-32.304,Balanced,180,75
장승배기,20964,12170,9260,17897,7호선,0.581,0.442,0.895,-41.948,Balanced,181,160
길동,19945,13026,10371,17513,5호선,0.653,0.52,1.007,-34.694,Balanced,182,93
복정,20351,11813,7995,17322,8호선,0.58,0.393,0.895,-41.952,Balanced,183,161
고려대(종암),19836,11697,8374,16965,6호선,0.59,0.422,0.909,-41.031,Balanced,184,151
하남시청(덕풍·신장),18560,12534,10258,16444,5호선,0.675,0.553,1.042,-32.466,Balanced,185,78
봉화산(서울의료원),19150,10506,8434,16177,6호선,0.549,0.44,0.846,-45.14,Balanced,186,186
명일,18328,12014,8874,16071,5호선,0.656,0.484,1.011,-34.448,Balanced,187,91
독립문,17364,13496,12907,16051,3호선,0.777,0.743,1.199,-22.273,Balanced,188,38
보문,17724,11169,8600,15417,6호선,0.63,0.485,0.972,-36.985,Balanced,189,113
금호,17397,11097,8848,15191,3호선,0.638,0.509,0.984,-36.209,Balanced,190,108
양평,18783,7925,5959,15081,5호선,0.422,0.317,0.651,-57.807,Weekday-oriented,191,231
지축,17108,10317,8268,14750,3호선,0.603,0.483,0.93,-39.691,Balanced,192,139
방이,16796,11140,7464,14730,5호선,0.663,0.444,1.023,-33.675,Balanced,193,85
몽촌토성(평화의문),16648,11081,8551,14671,8호선,0.666,0.514,1.027,-33.441,Balanced,194,83
행당,17004,9992,7835,14567,5호선,0.588,0.461,0.906,-41.236,Balanced,195,157
남위례,17002,9510,7108,14394,8호선,0.559,0.418,0.863,-44.063,Balanced,196,180
효창공원앞,16575,9596,7075,14130,6호선,0.579,0.427,0.893,-42.103,Balanced,197,165
구산,16272,10068,8041,14110,6호선,0.619,0.494,0.954,-38.128,Balanced,198,121
경찰병원,17149,7922,6136,13997,3호선,0.462,0.358,0.712,-53.806,Weekday-oriented,199,222
청구,16371,9154,7613,13899,"5호선, 6호선",0.559,0.465,0.862,-44.082,Balanced,200,181
양천구청,15828,8938,7013,13444,2호선,0.565,0.443,0.871,-43.532,Balanced,201,177
방화,15462,9539,8083,13423,5호선,0.617,0.523,0.952,-38.305,Balanced,202,124
보라매,15206,10022,7059,13333,7호선,0.659,0.464,1.016,-34.093,Balanced,203,86
마천,15417,9156,7171,13239,5호선,0.594,0.465,0.916,-40.61,Balanced,204,147
하남검단산,13771,11589,10310,12981,5호선,0.842,0.749,1.298,-15.844,Weekend-relative-strong,205,25
개롱,15187,8814,6522,12955,5호선,0.58,0.429,0.895,-41.962,Balanced,206,162
반포,14516,9321,6966,12671,7호선,0.642,0.48,0.99,-35.784,Balanced,207,102
신금호,14634,8306,6587,12447,5호선,0.568,0.45,0.875,-43.24,Balanced,208,173
애오개,14790,8061,5685,12435,5호선,0.545,0.384,0.841,-45.497,Balanced,209,190
월드컵경기장(성산),10832,16488,10256,12382,6호선,1.522,0.947,2.348,52.217,Weekend-relative-strong,210,1
상월곡(한국과학기술연구원),14473,8140,6534,12290,6호선,0.562,0.451,0.867,-43.757,Balanced,211,179
송정,13622,9368,7629,12121,5호선,0.688,0.56,1.061,-31.232,Balanced,212,70
산성,13960,8588,6821,12087,8호선,0.615,0.489,0.949,-38.481,Balanced,213,125
암사역사공원,13875,7852,6195,11792,8호선,0.566,0.446,0.873,-43.411,Balanced,214,176
도곡,13991,6994,4762,11556,3호선,0.5,0.34,0.771,-50.013,Weekday-oriented,215,209
개화산,13440,7905,6656,11540,5호선,0.588,0.495,0.907,-41.182,Balanced,216,155
잠원,13311,7813,5579,11372,3호선,0.587,0.419,0.905,-41.308,Balanced,217,158
강일,13259,7792,6237,11365,5호선,0.588,0.47,0.906,-41.231,Balanced,218,156
마장,12944,7763,6237,11147,5호선,0.6,0.482,0.925,-40.022,Balanced,219,142
용마산(용마폭포공원),12571,8240,6790,11060,7호선,0.655,0.54,1.011,-34.455,Balanced,220,92
녹사평(용산구청),11143,10678,8217,10861,6호선,0.958,0.737,1.478,-4.173,Weekend-relative-strong,221,11
수진,11797,8294,6141,10523,8호선,0.703,0.521,1.084,-29.694,Balanced,222,57
신흥,11735,8097,6732,10458,8호선,0.69,0.574,1.064,-30.999,Balanced,223,67
올림픽공원(한국체대),10412,10945,6541,10360,5호선,1.051,0.628,1.621,5.115,Weekend-relative-strong,224,7
신길,11394,6949,5230,9831,5호선,0.61,0.459,0.941,-39.005,Balanced,225,130
모란,10226,7966,6039,9376,8호선,0.779,0.591,1.201,-22.102,Weekend-relative-strong,226,34
하남풍산,10271,6654,4963,8984,5호선,0.648,0.483,0.999,-35.22,Balanced,227,97
무악재,9459,5806,4752,8193,3호선,0.614,0.502,0.947,-38.612,Balanced,228,126
역촌,9337,5890,4721,8134,6호선,0.631,0.506,0.973,-36.92,Balanced,229,111
창신,7569,4140,3352,6391,6호선,0.547,0.443,0.844,-45.297,Balanced,230,188
용답,6918,4543,3757,6090,2호선,0.657,0.543,1.013,-34.327,Balanced,231,88
독바위,6201,4071,3367,5458,6호선,0.656,0.543,1.012,-34.357,Balanced,232,89
용두(동대문구청),5765,3750,3076,5062,2호선,0.65,0.534,1.003,-34.954,Balanced,233,95
학여울,5165,4948,2100,4945,3호선,0.958,0.407,1.477,-4.216,Weekend-relative-strong,234,12
동작(현충원),5086,3760,3799,4648,4호선,0.739,0.747,1.14,-26.075,Balanced,235,44
버티고개,5054,3316,2440,4432,6호선,0.656,0.483,1.012,-34.393,Balanced,236,90
장암,4357,3418,2511,3999,7호선,0.784,0.576,1.21,-21.553,Weekend-relative-strong,237,30
신답,4002,2183,1683,3373,2호선,0.545,0.421,0.841,-45.467,Balanced,238,189
도림천,3146,1826,1277,2680,2호선,0.58,0.406,0.895,-41.973,Balanced,239,163
남태령,3054,1859,1465,2637,4호선,0.609,0.48,0.939,-39.121,Balanced,240,133
