k,inertia,silhouette_score,calinski_harabasz_score,davies_bouldin_score,minimum_cluster_size,maximum_cluster_size,is_best_silhouette,is_selected
2,0.6739023325170288,0.49330452374991934,326.66712229204495,0.7840659834192045,89,151,True,True
3,0.4644273247898719,0.38912006699070484,289.45578013341,0.9421483667549854,49,112,False,False
4,0.3932261423409099,0.3052500626108634,241.1940232873941,1.0798142797903068,29,82,False,False
5,0.35396737444896714,0.2794507908203375,206.62324842995116,1.2370168797117338,14,81,False,False
6,0.3200453002140175,0.2582370461117484,187.0012900825896,1.196192299006159,21,70,False,False
7,0.2966591066772836,0.2267863599335706,170.46197362615433,1.2588646846837903,14,66,False,False
8,0.27598676811059375,0.22658527584336138,158.86287233317972,1.2632206395508743,14,64,False,False
