k,mean_ari,minimum_ari,maximum_ari,mean_silhouette,minimum_silhouette,maximum_silhouette
2,0.9669162007642412,0.9338324015284823,1.0,0.49503854818559545,0.49330452374991934,0.4967725726212715
3,1.0,1.0,1.0,0.38912006699070484,0.38912006699070484,0.38912006699070484
