k,silhouette_score,inertia,calinski_harabasz_score,davies_bouldin_score,minimum_cluster_size,maximum_cluster_size
2,0.49330452374991934,0.6739023325170288,326.66712229204495,0.7840659834192045,89,151
3,0.38912006699070484,0.4644273247898719,289.45578013341,0.9421483667549854,49,112
