model_name,number_of_predictions,actual_total,prediction_total,mae,rmse,wape_pct,smape_pct,bias_pct,underprediction_rate_pct
same_weekday_last_week,22080,832747867.0,839389278.0,4227.638451086957,10726.561670002711,11.209426129938079,13.936708983776649,0.7975296320993159,50.3215579710145
same_weekday_4week_mean,22080,832747867.0,835357724.25,4241.520844655797,9122.094753198155,11.24623478020869,12.802254908065105,0.313403054324485,56.770833333333336
previous_day,22080,832747867.0,833082717.0,6595.76856884058,12489.830202381845,17.48843506794596,20.734658567493288,0.040210250097224204,52.97101449275362
